ret_mean,ret_std,n
-9.601011722981667e-06,5.19919064653733e-05,10
-1.1260821736125414e-05,5.131975745853496e-05,10
-6.52188491441219e-06,5.70821809336391e-05,10
3.851908536833815e-06,5.997746097874459e-05,10
3.2922061162454775e-06,5.9981479352894753e-05,10
1.4418576051533627e-05,4.73739326136596e-05,10
1.4437877927753195e-05,4.736735670184812e-05,10
1.7853817493029833e-05,4.744212595885894e-05,10
3.1422255229895946e-05,2.8037101141570365e-05,10
3.0330222264063345e-05,2.7229627810449393e-05,10
3.086956521101136e-05,2.731633564029633e-05,10
3.085991422073775e-05,2.7328430306620848e-05,10
2.6680038289583762e-05,2.279768103813078e-05,10
2.1989515976317264e-05,1.8381029326939297e-05,10
1.8574284373906735e-05,2.4868820178665205e-05,10
7.903582706958456e-06,4.434451375867383e-05,10
7.87463635419927e-06,4.435034023735366e-05,10
4.458696788922634e-06,4.340636027091001e-05,10
6.830297060167467e-08,4.1134206281005464e-05,10
-4.312249307047988e-06,3.8185765561541665e-05,10
-1.1124132333517612e-05,3.596013391914977e-05,10
-8.036425142343705e-06,3.827270069186617e-05,10
-1.1268509026007845e-05,3.57687142550444e-05,10
-1.4577836400631039e-05,3.422343539727309e-05,10
-1.1201203376487445e-05,3.378278701411499e-05,10
-1.5051154344192242e-06,1.528286620166703e-05,10
-1.4761690816600393e-06,1.528569839222083e-05,10
3.88863571469944e-06,2.3217718575609407e-05,10
1.7483248041516575e-05,4.764158523199274e-05,10
4.334250216075919e-06,6.715312729009371e-05,10
7.4122137017851305e-06,6.605637767664314e-05,10
-4.445861801438688e-06,7.177224780661432e-05,10
-8.84590441238009e-06,7.281063270764003e-05,10
-1.1760226576684741e-05,7.36521512588329e-05,10
-1.2879634062723522e-05,7.353853210159731e-05,10
-2.102437970299409e-05,7.640792120391238e-05,10
-2.34977480118026e-06,0.00010098550590775586,10
-7.71457959753974e-06,9.90872822948419e-05,10
-1.2808284903642609e-05,9.193259907911778e-05,10
1.0461817876306067e-05,8.791695097496364e-05,10
-6.585066319786392e-06,0.00010504914129033088,10
4.481765380759395e-06,0.00010131694271178631,10
6.5853973394425225e-06,0.00010041281804123493,10
1.8338175373155962e-05,0.00010072396565021484,10
1.2095933386591096e-05,0.00010461660533467337,10
1.9034553297614388e-05,9.991855941009221e-05,10
3.852930637471275e-06,8.14276527892477e-05,10
3.852930637471275e-06,8.14276527892477e-05,10
-4.638327598072145e-06,7.628960971719717e-05,10
-1.596553058422767e-05,6.662406206478372e-05,10
1.773535556489625e-05,6.494729865270787e-05,10
1.7464824105084542e-05,6.492872809556456e-05,10
1.3837915692072045e-05,6.836031985710862e-05,10
-7.696766180731451e-07,6.975875263967483e-05,10
-7.34027339696075e-06,7.976008489324824e-05,10
-6.134147667713474e-06,7.97719560939226e-05,10
-3.924148697664886e-06,8.132696698690032e-05,10
-3.914499533552718e-06,8.132749002798239e-05,10
-3.924148318723564e-06,8.132696700771595e-05,10
3.148640927064239e-06,8.358486665358439e-05,10
-1.3495712656907966e-05,6.0966489497050836e-05,10
-5.023970910589259e-06,7.120458051678238e-05,10
1.0315390485970966e-05,7.466724333931019e-05,10
2.1950028934203393e-05,6.920161162129192e-05,10
